attr-fabric,attr-ideal-for,attr-number-of-contents-in-sales-package,attr-pattern,attr-style-code,attr-type,category-0,category-1,category-2,category-3,category-4,category-5,imageUrl,maker,product,productId,product_url,retail_price,uniq_id
Linen,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Ladybug Dresses,http://img5a.flixcart.com/image/dress/g/t/h/1-1-lbd531-ladybug-m-original-imae89ehg3cuz6sj.jpeg,,Ladybug Women's Shift Dress,de162ca6e0984d2f7d2595f63cb6f599,http://www.flipkart.com/ladybug-women-s-shift-dress/p/itme8g3hynv8azcp?pid=DREE8G3HZWN58SRH,1199,de162ca6e0984d2f7d2595f63cb6f599
"Poly Lycra, Faux PVC",Women's,Pack of 1,Self Design,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Madaam Dresses,http://img5a.flixcart.com/image/dress/g/u/j/1-1-weven11-madaam-m-original-imae62ygfhs6ah4q.jpeg,,Madaam Women's Shift Dress,c8e5d1d03955375d59ce4d0967ece696,http://www.flipkart.com/madaam-women-s-shift-dress/p/itme62q4gshmzwdx?pid=DREE62Q4PNZXGYNZ,3999,c8e5d1d03955375d59ce4d0967ece696
Net,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Mayra Dresses,http://img5a.flixcart.com/image/dress/r/m/n/1-1-1510d19217-mayra-xl-original-imaechzydrthuekh.jpeg,,Mayra Women's Shift Dress,1662612ac8e140ee44926eb2dce39784,http://www.flipkart.com/mayra-women-s-shift-dress/p/itmecgq8gyxe5a6k?pid=DREECGQ8W5SEY7PB,1995,1662612ac8e140ee44926eb2dce39784
Printed Georgette,Women's,,Paisley,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Loco En Cabeza Dresses,http://img5a.flixcart.com/image/dress/8/s/2/1-1-czwd0002-loco-en-cabeza-xl-1000x1000-imaebcsyzzqenhdn.jpeg,,Loco En Cabeza Women's Shift Dress,23538892b61c572f52f7340cc04be5b5,http://www.flipkart.com/loco-cabeza-women-s-shift-dress/p/itmebd64hjfgwcgx?pid=DREEBD64ZVMYY8S2,1899,23538892b61c572f52f7340cc04be5b5
Cotton,Women's,Pack of 1,"Printed, Solid",,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img5a.flixcart.com/image/dress/f/p/d/1-1-15126blk-meiro-xxl-original-imae87cfegfdutgk.jpeg,,Meiro Women's Sheath Dress,5079215f092b5e0cac235f045902672b,http://www.flipkart.com/meiro-women-s-sheath-dress/p/itme88dfcrxfykkk?pid=DREE88DFXJXCYPGF,1499,5079215f092b5e0cac235f045902672b
Poly crepe,Women's,Pack of 1,Graphic Print,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kwardrobe Dresses,http://img6a.flixcart.com/image/dress/t/v/e/1-1-ss-278-kwardrobe-l-original-imaebmtszfjxxseg.jpeg,,Kwardrobe Women's Sheath Dress,e585a849c82f24393bb7436727402ce4,http://www.flipkart.com/kwardrobe-women-s-sheath-dress/p/itmebn4s86bnhz4s?pid=DREEBN4SUJFGYTNY,1150,e585a849c82f24393bb7436727402ce4
Polyester,Women's,,Self Design,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,I Am For You Dresses,http://img6a.flixcart.com/image/dress/t/q/h/imfu-fk-205-i-am-for-you-m-1100x1360-imae487czhzhrsxu.jpeg,,I Am For You Women's Sheath Dress,2b44b1f2565daa1f7de49cddfcb06b90,http://www.flipkart.com/am-you-women-s-sheath-dress/p/itme484rf3gb2fug?pid=DREE484RTSHA9TQH,1499,2b44b1f2565daa1f7de49cddfcb06b90
Georgette,Women's,Pack of 1,Geometric Print,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Maggie Dresses,http://img5a.flixcart.com/image/dress/2/s/r/1-1-mg258-maggie-42-original-imaechwwhggdckwg.jpeg,,Maggie Women's Maxi Dress,a05cf40c430b2d93b5930c3251d7287d,http://www.flipkart.com/maggie-women-s-maxi-dress/p/itmeccmnm6zqzumz?pid=DREECCMNTG6KXD77,2699,a05cf40c430b2d93b5930c3251d7287d
Cotton,Women's,Pack of 1,Floral Print,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Jaipur Craft Shop Dresses,http://img6a.flixcart.com/image/dress/j/z/e/1-1-dress0007-jaipur-craft-shop-m-original-imaeb6szt8zumeuz.jpeg,,Jaipur Craft Shop Women's Empire Waist Dress,720eeae268f5b839fc1c2fc9e20b7536,http://www.flipkart.com/jaipur-craft-shop-women-s-empire-waist-dress/p/itmebde8mywxt6gt?pid=DREEBDE8NWZNJJZE,899,720eeae268f5b839fc1c2fc9e20b7536
"100% Cotton Cambric, 100% Cotton Voile",Women's,,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss Chase Dresses,http://img6a.flixcart.com/image/dress/h/h/m/mc-s-14-d-02-15-20-miss-chase-xs-original-imadxv7pntxnbang.jpeg,,Miss Chase Women's Sheath Dress,7c76dc8716298827aeac035276c89b6f,http://www.flipkart.com/miss-chase-women-s-sheath-dress/p/itmdvgbgmcqadmy5?pid=DREDVGBGWKSAAVVG,1699,7c76dc8716298827aeac035276c89b6f
Cotton,Women's,Pack of 1,Floral Print,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Koma Store Dresses,http://img6a.flixcart.com/image/dress/z/k/z/1-1-kst7024-koma-store-free-original-imaeahzvaxz28qgf.jpeg,,Koma Store Women's Shift Dress,57fd979f9c2cb7a298a084c02f5b22d8,http://www.flipkart.com/koma-store-women-s-shift-dress/p/itmeamcb8vafzfhp?pid=DREEAMCBFCGUZZKZ,2799,57fd979f9c2cb7a298a084c02f5b22d8
Cotton Single Jersey,Women's,,Solid,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss Chase Dresses,http://img6a.flixcart.com/image/dress/g/y/n/mcaw14d02-59-98-miss-chase-s-original-imae247y9uqz6f4a.jpeg,,Miss Chase Women's Bandage Dress,9d7254ab1db38841c69456e660cd7342,http://www.flipkart.com/miss-chase-women-s-bandage-dress/p/itme26vhbhdndtcz?pid=DREE26VHUFEGXXNM,1599,9d7254ab1db38841c69456e660cd7342
Viscose,Women's,,Printed,,Layered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Ladybug Dresses,http://img5a.flixcart.com/image/dress/y/x/z/lbd464-ladybug-s-original-imadxgpyhnpz7a7m.jpeg,,Ladybug Women's Layered Dress,71c045626c0129aa980a41a9eaca5a31,http://www.flipkart.com/ladybug-women-s-layered-dress/p/itmdxgqebv7wyhkt?pid=DREDXGQEXWHQBATG,999,71c045626c0129aa980a41a9eaca5a31
,Women's,,Solid,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img6a.flixcart.com/image/dress/a/s/y/hc1167-hugo-chavez-xs-original-imaeyht6x6azqexc.jpeg,,Hugo Chavez Women's High Low Dress,832a691f76c492a8a001feaa8de0a650,http://www.flipkart.com/hugo-chavez-women-s-high-low-dress/p/itmeyjz7jrfsdc5v?pid=DREEYJZ7RH39FZ9H,2575,832a691f76c492a8a001feaa8de0a650
crepe,Women's,Pack of 1,"Solid, Self Design",,Peplum,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hermosear Dresses,http://img6a.flixcart.com/image/dress/w/t/z/1327-red-hermosear-s-original-imae5vujad8tdsax.jpeg,,Hermosear Women's Peplum Dress,ae7e3305a4146f26a7acb018b8836b2f,http://www.flipkart.com/hermosear-women-s-peplum-dress/p/itme3z8yvmaatxhx?pid=DREE3Z8YHYSFCWTZ,2199,ae7e3305a4146f26a7acb018b8836b2f
"Poplin, Cotton",Women's,,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,My Addiction Dresses,http://img5a.flixcart.com/image/dress/e/c/j/mwsd766f-my-addiction-l-original-imads7xmskxpk2kh.jpeg,,My Addiction Women's Sheath Dress,fbbee8570994a194fdd2593aea1c1939,http://www.flipkart.com/my-addiction-women-s-sheath-dress/p/itmds7safcuaht8h?pid=DREDS7SAVKTAZE96,1199,fbbee8570994a194fdd2593aea1c1939
Georgette,Women's,,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Mayra Dresses,http://img6a.flixcart.com/image/dress/s/e/y/1-1-1508d19183-mayra-xl-original-imaeahgwwvqkafbd.jpeg,,Mayra Women's Maxi Dress,0968016aee766537f71c00484383a508,http://www.flipkart.com/mayra-women-s-maxi-dress/p/itmeagzfpu3mzxq9?pid=DREEAGZFZZFVDCNN,1995,0968016aee766537f71c00484383a508
Synthetic,Women's,Pack of 1,Animal Print,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss India Dresses,http://img6a.flixcart.com/image/dress/h/c/c/1-1-miapop-s-miss-india-s-original-imae7d6qft2rrggp.jpeg,,Miss India Women's Shift Dress,87dfd85bd9c5e2bd89ca4d7011aca76e,http://www.flipkart.com/miss-india-women-s-shift-dress/p/itme7ft89jexwpnp?pid=DREE7FT8HF9P5HCC,1799,87dfd85bd9c5e2bd89ca4d7011aca76e
Rayon,Women's,,Striped,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,IDK Woman Dresses,http://img5a.flixcart.com/image/dress/s/w/y/kw24-dr-133-136-black-f-idk-woman-8-original-imadzu8cgvpxzdyg.jpeg,,IDK Woman Women's Shift Dress,0ead48932dad20b680f05017a0f4ce62,http://www.flipkart.com/idk-woman-women-s-shift-dress/p/itmdzt5wzeh49vgb?pid=DREDZT5WGMYXBSWY,1499,0ead48932dad20b680f05017a0f4ce62
Lycra Netted,Women's,,Self Design,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kaira Dresses,http://img6a.flixcart.com/image/dress/u/e/g/1-1-4003300a-kaira-l-original-imaeam7hqjs8ynq3.jpeg,,Kaira Women's Bandage Dress,c347a5c571ae3626813be7fd824bcafe,http://www.flipkart.com/kaira-women-s-bandage-dress/p/itmeazadyjhgjzub?pid=DREEAZADCAYGQUEG,730,c347a5c571ae3626813be7fd824bcafe
Poly Crepe,Women's,Pack of 1,"Striped, Floral Print",,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img6a.flixcart.com/image/dress/d/y/h/15105stripe-meiro-xxxl-original-imae46q49xyu83gb.jpeg,,Meiro Women's Shift Dress,1fcafe3b3f3f07ed7b964d00400735ed,http://www.flipkart.com/meiro-women-s-shift-dress/p/itme4cyt9yg8pxyw?pid=DREE4CYTN7FDZQHH,1399,1fcafe3b3f3f07ed7b964d00400735ed
Cotton Lycra,Women's,Pack of 1,Solid,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,HUGO CHAVEZ Dresses,http://img6a.flixcart.com/image/dress/r/t/9/1-1-hc1162-hugo-chavez-xs-original-imae7u5mphthggrh.jpeg,,HUGO CHAVEZ Women's Bandage Dress,bd0142c1e6090408ca4c10e7eeb3872f,http://www.flipkart.com/hugo-chavez-women-s-bandage-dress/p/itmeyjz7mswqxyxh?pid=DREE7UCDU7JASMGR,2499,bd0142c1e6090408ca4c10e7eeb3872f
Cotton,Women's,,Striped,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Lifestyle Preview Dresses,http://img5a.flixcart.com/image/dress/c/q/q/1-1-ss-5069-b-lifestyle-preview-s-original-imaebzb9ybj7uvby.jpeg,,Lifestyle Preview Women's Gathered Dress,fc79ac3d9a3155f810ec36ecde0a6a2c,http://www.flipkart.com/lifestyle-preview-women-s-gathered-dress/p/itmebrd34fxgmz5f?pid=DREEBRD4BNGGSWSC,1200,fc79ac3d9a3155f810ec36ecde0a6a2c
Poly Crape,Women's,,Floral Print,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,La Zoire Dresses,http://img5a.flixcart.com/image/dress/q/m/x/lza170lztq-rd-la-zoire-l-original-imadzr3wzwbhskdj.jpeg,,La Zoire Women's Shift Dress,bdafd7f34c6baa1f9ba439b4fe3f99cb,http://www.flipkart.com/la-zoire-women-s-shift-dress/p/itmdzzn2zjnqu6ew?pid=DREDZZN2ZZEZKQMX,799,bdafd7f34c6baa1f9ba439b4fe3f99cb
Lycra,Women's,Pack of 1,Solid,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Inmark Dresses,http://img6a.flixcart.com/image/dress/9/v/y/1-1-indr000099-peach-f-inmark-m-original-imae6scyh2gzmruc.jpeg,,Inmark Women's Empire Waist Dress,216c966a5d3fb73903b745e99888ca53,http://www.flipkart.com/inmark-women-s-empire-waist-dress/p/itme6udpwmakbn2n?pid=DREE6UDPXG5TDFCR,1199,216c966a5d3fb73903b745e99888ca53
Polyester,Women's,,Solid,,Layered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Ladybug Dresses,http://img5a.flixcart.com/image/dress/g/h/j/lbd455-ladybug-s-original-imadxgpyzxtjpcsz.jpeg,,Ladybug Women's Layered Dress,3f5eb4d138d47671b89cc6992610a131,http://www.flipkart.com/ladybug-women-s-layered-dress/p/itmdxgqdmeyjn8kh?pid=DREDXGQDZPEWPGQU,1299,3f5eb4d138d47671b89cc6992610a131
Polyester Georgette,Women's,Pack of 1,Self Design,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Latin Quarters Dresses,http://img6a.flixcart.com/image/dress/y/j/s/1-1-lqd3859-ivory-latin-quarters-xl-original-imae7gqgs4vv2mgz.jpeg,,Latin Quarters Women's Gathered Dress,4968c5ec9b0a3a8e6213a5edffba5061,http://www.flipkart.com/latin-quarters-women-s-gathered-dress/p/itme7gupzaqtnxsd?pid=DREE7GUQZJHUPYJS,2400,4968c5ec9b0a3a8e6213a5edffba5061
Polyester,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Ladybug Dresses,http://img6a.flixcart.com/image/dress/g/m/j/lbd457-ladybug-s-original-imadxgpyjghfzmnv.jpeg,,Ladybug Women's Gathered Dress,d229ad2b6f17e3a2604eb80292bccf69,http://www.flipkart.com/ladybug-women-s-gathered-dress/p/itmdxgqe9yzjbfuy?pid=DREDXGQEAYDGHZVZ,1199,d229ad2b6f17e3a2604eb80292bccf69
Georgette,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Lady Stark Dresses,http://img6a.flixcart.com/image/dress/g/z/b/1-1-lsdr3016-lady-stark-xl-original-imae8vvgndypwgqm.jpeg,,Lady Stark Women's Gathered Dress,4238b3c8d5466d0c2e10761018f18e6a,http://www.flipkart.com/lady-stark-women-s-gathered-dress/p/itme93uz3ctgesms?pid=DREE93UZUFGJCVBE,1790,4238b3c8d5466d0c2e10761018f18e6a
Viscose,Women's,,Printed,,Layered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Ladybug Dresses,http://img6a.flixcart.com/image/dress/x/g/v/lbd461-ladybug-s-original-imadxgpyygmsh9z2.jpeg,,Ladybug Women's Layered Dress,db055d863f557cce4908325af347f656,http://www.flipkart.com/ladybug-women-s-layered-dress/p/itmdxgqegam9jvvz?pid=DREDXGQEHEMCBXGV,999,db055d863f557cce4908325af347f656
Georgette,Women's,Pack of 1,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Jiiah Dresses,http://img6a.flixcart.com/image/dress/p/a/e/1-1-light-blue-008-jiiah-s-original-imae2hsneuc28h2a.jpeg,,Jiiah Women's Shift Dress,1ca39ed7a07a661a6efb08366508a36c,http://www.flipkart.com/jiiah-women-s-shift-dress/p/itme4v9zrfvz37ph?pid=DREE4V9ZYNGWHTGG,999,1ca39ed7a07a661a6efb08366508a36c
"Shell, Polyester Georgette, Lining, Poly Knit",Women's,,Solid,,High Low,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss Chase Dresses,http://img6a.flixcart.com/image/dress/n/b/v/mc-s-14-d-01-21-82-miss-chase-xs-original-imadzs4gxpf7d3ry.jpeg,,Miss Chase Women's High Low Dress,f037fafd1e525e3c0aba412a0fe7f073,http://www.flipkart.com/miss-chase-women-s-high-low-dress/p/itmdzpx3z7upmfgt?pid=DREDZPX3Y3HSV9EG,1549,f037fafd1e525e3c0aba412a0fe7f073
Polyester,Women's,,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Martini Dresses,http://img5a.flixcart.com/image/dress/r/x/z/1-1-mart1374-martini-s-original-imae5utvgpnsdxgv.jpeg,,Martini Women's Sheath Dress,acfbdedcf2aa5712b13a095fc0d8b1f8,http://www.flipkart.com/martini-women-s-sheath-dress/p/itme5vwckngqu8vv?pid=DREE5VWCRGECZRXZ,1980,acfbdedcf2aa5712b13a095fc0d8b1f8
Polyester,Women's,Pack of 1,Printed,,Layered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kaxiaa Dresses,http://img6a.flixcart.com/image/dress/q/h/w/1-1-k-1046b-kaxiaa-l-original-imae96rbcauv8j7z.jpeg,,Kaxiaa Women's Layered Dress,7cfd69e595581b239a5358231d097475,http://www.flipkart.com/kaxiaa-women-s-layered-dress/p/itme978edq8ggw2c?pid=DREE978EWXFTHQHW,1499,7cfd69e595581b239a5358231d097475
Poly Crepe,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,La Stella Dresses,http://img5a.flixcart.com/image/dress/z/r/7/1-1-wr15122-n-la-stella-s-original-imae9h4fzdzg3dhf.jpeg,,La Stella Women's Shift Dress,2a126b35118baccb89ef42d28d6e04c1,http://www.flipkart.com/la-stella-women-s-shift-dress/p/itme9g8bfzkxbcqt?pid=DREE9G8CS8FAJ2GH,999,2a126b35118baccb89ef42d28d6e04c1
Cotton,Women's,,Solid,,Gathered,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kasturi Dresses,http://img5a.flixcart.com/image/dress/e/e/e/1-1-kasg03-s-kasturi-s-original-imae7juhhftpgxjn.jpeg,,Kasturi Women's Gathered Dress,4947add73bdb1fa64ed3757c0fb6a10d,http://www.flipkart.com/kasturi-women-s-gathered-dress/p/itme92h8nhc3z7g9?pid=DREE92H8MWPGHHHB,2399,4947add73bdb1fa64ed3757c0fb6a10d
,Women's,,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img6a.flixcart.com/image/dress/t/y/n/hc1124-hugo-chavez-l-original-imae2qurxaxwhjms.jpeg,,Hugo Chavez Women's Maxi Dress,4656cb50ef81b428e74d6d263000bb4b,http://www.flipkart.com/hugo-chavez-women-s-maxi-dress/p/itme2runhyrmhg2x?pid=DREE2RUNXZFKGGFZ,2959,4656cb50ef81b428e74d6d263000bb4b
Cotton,Women's,Pack of 1,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kiosha Dresses,http://img5a.flixcart.com/image/dress/u/t/d/1-1-ktvda484-kiosha-l-original-imaeavsyydrpmbua.jpeg,,Kiosha Women's Shift Dress,0c69843a3c64d49481d9772920a6d4d8,http://www.flipkart.com/kiosha-women-s-shift-dress/p/itmeaw2ftasmeztc?pid=DREEAW2FTWYNF7UQ,1399,0c69843a3c64d49481d9772920a6d4d8
Polyster,Women's,Pack of 1,Floral Print,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Londonhouze Dresses,http://img5a.flixcart.com/image/dress/v/b/g/1-1-lhfloralb001-londonhouze-m-original-imae9dnft43fj66w.jpeg,,Londonhouze Women's Bandage Dress,40c24759aa1a9def7bca22286c08660c,http://www.flipkart.com/londonhouze-women-s-bandage-dress/p/itme9hy9cqgqdrnc?pid=DREE9HY95VEPSVBG,1799,40c24759aa1a9def7bca22286c08660c
woolen,Women's,,Animal Print,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Jiiah Dresses,http://img5a.flixcart.com/image/dress/g/g/4/black-006-jiiah-l-original-imaeytwzfhchkhgx.jpeg,,Jiiah Women's Sheath Dress,7b3ab158cdcfde6e5dfb920717a2ee1b,http://www.flipkart.com/jiiah-women-s-sheath-dress/p/itmeytuzkguzt2tt?pid=DREEYTUZVH3ZZNAX,1049,7b3ab158cdcfde6e5dfb920717a2ee1b
