attr-fabric,attr-ideal-for,attr-number-of-contents-in-sales-package,attr-pattern,attr-style-code,attr-type,category-0,category-1,category-2,category-3,category-4,category-5,imageUrl,maker,product,productId,product_url,retail_price,uniq_id
Georgette,Women's,Pack of 1,Floral Print,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img5a.flixcart.com/image/dress/d/f/b/1-1-hc1594dupq-hugo-chavez-xxl-original-imaeaszazcgrv6f5.jpeg,,Hugo Chavez Women's Sheath Dress,c2d8fd83c29d272653c4a38a3a8b6cd1,http://www.flipkart.com/hugo-chavez-women-s-sheath-dress/p/itmeaxe3q9gbuf94?pid=DREEAXE3VAX3GY9Y,2499,c2d8fd83c29d272653c4a38a3a8b6cd1
Georgette,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Maggie Dresses,http://img6a.flixcart.com/image/dress/a/j/x/1-1-mg278-maggie-44-original-imaeccanwzsgpmbz.jpeg,,Maggie Women's Maxi Dress,11978b78cd83ba5f483e87d7579a9397,http://www.flipkart.com/maggie-women-s-maxi-dress/p/itmeccmnhe9n2329?pid=DREECCMNWCGEMQYP,2999,11978b78cd83ba5f483e87d7579a9397
Crepe,Women's,,Printed,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Maggie Dresses,http://img6a.flixcart.com/image/dress/c/d/u/1-1-mg11-maggie-m-original-imae9drr5z7hph2n.jpeg,,Maggie Women's Shift Dress,0d7d5ba36c300c6024ef1e050ea241dc,http://www.flipkart.com/maggie-women-s-shift-dress/p/itme9ehegppaxgg3?pid=DREE9EHEWXZYSCDU,1899,0d7d5ba36c300c6024ef1e050ea241dc
100% Polyester,Women's,,Printed,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Max Dresses,http://img5a.flixcart.com/image/dress/w/r/2/1-1-christinablue-max-xxl-original-imae4u79tq7bfcmz.jpeg,,Max Women's Empire Waist Dress,40129afaa3dbfa81b815dbde36935260,http://www.flipkart.com/max-women-s-empire-waist-dress/p/itme46zfwyvxta9z?pid=DREE46ZEHAFQ2EUW,799,40129afaa3dbfa81b815dbde36935260
Polyester,Women's,Pack of 1,Solid,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Insense by Shoppers Stop Dresses,http://img6a.flixcart.com/image/dress/g/p/y/1-1-9898492-9212-insense-by-shoppers-stop-xs-original-imae8z9yq8zpzzzg.jpeg,,Insense by Shoppers Stop Women's Maxi Dress,950b6714a17d33211141fc4134ef1c5d,http://www.flipkart.com/insense-shoppers-stop-women-s-maxi-dress/p/itme8z6dxa2rj2y2?pid=DREE8Z6DWCNSVSJS,,950b6714a17d33211141fc4134ef1c5d
Gorgette,Women's,,Solid,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meee Dresses,http://img6a.flixcart.com/image/dress/x/r/p/dr-006aqua-meee-xl-original-imae8knygbkgah6c.jpeg,,Meee Women's Shift Dress,3c45ca43d5fe7c619fc2810cb3e40035,http://www.flipkart.com/meee-women-s-shift-dress/p/itmeyrf9hhs26mf8?pid=DREEYRF9YZYRFPYT,1295,3c45ca43d5fe7c619fc2810cb3e40035
Rayon,Women's,Pack of 1,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Indiatrendzs Dresses,http://img5a.flixcart.com/image/dress/s/m/d/1-1-mg-poncho-37-indiatrendzs-4xl-original-imae9ymzhq9u7g6f.jpeg,,Indiatrendzs Women's Maxi Dress,f571d14ae5e374f8e861d3419adf2eb7,http://www.flipkart.com/indiatrendzs-women-s-maxi-dress/p/itmeay5y8zyajdxj?pid=DREEAY5YCZ3WYSMD,1725,f571d14ae5e374f8e861d3419adf2eb7
,Women's,,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meira Dresses,http://img6a.flixcart.com/image/dress/m/k/s/mewt-1099-meira-s-original-imaefxzgrxtbuffq.jpeg,,Meira Women's Maxi Dress,e1767a708c2ecb29e2699b99517049cf,http://www.flipkart.com/meira-women-s-maxi-dress/p/itmefyyf2my2z2n2?pid=DREEFYYFU2SPDAZS,1399,e1767a708c2ecb29e2699b99517049cf
Cotton,Women's,Pack of 1,Floral Print,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,India Inc Dresses,http://img5a.flixcart.com/image/dress/p/k/j/1-1-24044tq2-india-inc-m-original-imaecjxmsvydnqmz.jpeg,,India Inc Women's Maxi Dress,1c4bea8cf9d32cf1caac4b3690e2a412,http://www.flipkart.com/india-inc-women-s-maxi-dress/p/itmechmgg5x3ytzz?pid=DREECHMGM7Y4YEDK,1699,1c4bea8cf9d32cf1caac4b3690e2a412
Crepe,Women's,,Solid,,Empire Waist,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hermosear Dresses,http://img6a.flixcart.com/image/dress/n/t/a/1143-purple-hermosear-m-original-imadwyk8hf57dhpy.jpeg,,Hermosear Women's Empire Waist Dress,7e0791746cf8b8cfd2a1b92b43a28de0,http://www.flipkart.com/hermosear-women-s-empire-waist-dress/p/itmdwyj96g2f5mev?pid=DREDWYJ9NYYYTKZD,1599,7e0791746cf8b8cfd2a1b92b43a28de0
